ORF,N_FC_Strains,mean_FoldChangeExpression,median_FoldChangeExpression,p
YLR450W,2,0.00287884623476011,0.00287884623476011,0.353818626657141
YLR451W,2,0.101022983532066,0.101022983532066,0.0922168347569269
YLR452C,2,-0.17593942736734,-0.17593942736734,0.579209846971819
YLR453C,2,-0.313589536558711,-0.313589536558711,0.793379208861714
YLR454W,2,0.0648267102508033,0.0648267102508033,0.909621741977757
YLR455W,2,-0.0323645717269358,-0.0323645717269358,0.878142744913485
YLR456W,2,-0.169394545128925,-0.169394545128925,0.86623197109093
YLR457C,2,0.105096018796492,0.105096018796492,0.203581531612611
YLR458W,2,0.489936163631784,0.489936163631784,0.949313375581475
YLR459W,2,0.063309214984054,0.063309214984054,0.644286330459226
YLR460C,2,NaN,NaN,0.112095436370212
YLR461W,2,NaN,NaN,0.441997287627403
YLR462W,2,NaN,NaN,0.151593880088105
YLR463C,2,NaN,NaN,0.849472556393244
YLR464W,2,NaN,NaN,NaN
YLR465C,2,NaN,NaN,0.743558361550256
YLR466C-A,2,NaN,NaN,0.685666657322576
YLR466C-B,2,NaN,NaN,0.589484304641125
YLR466W,2,NaN,NaN,0.670032988335925
YLR467C-A,2,NaN,NaN,0.685666657322576
YLR467W,2,NaN,NaN,0.863543198856379
YOR369C,8,-0.0488657931389336,-0.0757772887930989,0.396270711490588
YOR370C,8,0.0260863776027513,-0.00654535411388012,0.685985611499187
YOR371C,8,0.12440862760078,0.0940626038366887,0.0865977597999753
YOR372C,8,0.189343812163,0.154469734010503,0.0188071521282561
YOR373W,8,0.180538732726598,0.07950281223975,0.134676739172429
YOR374W,8,0.366990233522409,0.463935536358672,0.0434627574793873
YOR375C,8,-0.18497208536471,-0.195517892601423,0.334621900850421
YOR376W,8,0.443703782948686,0.499284486551834,0.00171281633198308
YOR376W-A,8,-0.0683696389622691,-0.124432466982456,0.508027672814628
YOR377W,8,0.00145102414006148,-0.0748256844602058,0.816684415560727
YOR378W,8,0.419713349735358,0.367747164748141,0.00100518285312615
YOR379C,8,0.606156036642699,0.843412093460961,0.0246643710474191
YOR380W,8,0.104097465812268,0.0870025255346722,0.00543689657948406
